"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithTheSameName","projectShouldNotBeCreatedWithTheSameName","Project Should Not Be Created With The Same Name"
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightToCreateProject","systemAdminShouldHaveRightToCreateProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithTheSameId","projectShouldNotBeCreatedWithTheSameId","Project Should Not Be Created With The Same ID"
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithEmptyName","projectShouldNotBeCreatedWithEmptyName","Project Should Not Be Created With Empty Name"
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldBeCreatedWithSpecialSymbolsInName","projectShouldBeCreatedWithSpecialSymbolsInName","Project Should Be Created With Special Symbols In Name"
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithCorrectId","createBuildConfigWithCorrectId",""
"broken","Fri May 31 22:38:13 GMT 2024","Fri May 31 22:40:28 GMT 2024","135161","UI Suite","UI Test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","projectShouldNotBeCreatedWithEmptyUrl","projectShouldNotBeCreatedWithEmptyUrl",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithTheSameNameInTheSameProject","buildConfigShouldNotBeCreatedWithTheSameNameInTheSameProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightToCreateBuildConfigToAnotherProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightToCreateBuildConfigToHisProject","projectAdminShouldHaveRightToCreateBuildConfigToHisProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithEmptyId","projectShouldNotBeCreatedWithEmptyId","Project Should Not Be Created With Empty ID"
"broken","Fri May 31 22:32:59 GMT 2024","Fri May 31 22:33:32 GMT 2024","33009","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpTest","com.example.teamcity.ui.SetUpTest","startUpTest","startUpTest",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithLongName","createBuildConfigWithLongName",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithCorrectId","createProjectWithCorrectId","Create Project with Correct ID"
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyProject","buildConfigShouldNotBeCreatedWithEmptyProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyId","buildConfigShouldNotBeCreatedWithEmptyId",""
"broken","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:38:13 GMT 2024","134492","UI Suite","UI Test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","authorizedUserShouldBeAbleCreateProject","authorizedUserShouldBeAbleCreateProject",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithTheSameId","buildConfigShouldNotBeCreatedWithTheSameId",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldBeCreatedWithLongName","projectShouldBeCreatedWithLongName","Project Should Be Created With Long Name"
"broken","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","2","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","setAuthSettings","setAuthSettings",""
"skipped","Fri May 31 22:35:58 GMT 2024","Fri May 31 22:35:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithSpecialSymbolsInName","createBuildConfigWithSpecialSymbolsInName",""
