"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithEmptyName","projectShouldNotBeCreatedWithEmptyName","Project Should Not Be Created With Empty Name"
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyId","buildConfigShouldNotBeCreatedWithEmptyId",""
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithSpecialSymbolsInName","createBuildConfigWithSpecialSymbolsInName",""
"broken","Fri May 31 21:39:48 GMT 2024","Fri May 31 21:39:48 GMT 2024","4","UI Suite","UI Test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","projectShouldNotBeCreatedWithInvalidUrl","projectShouldNotBeCreatedWithInvalidUrl",""
"broken","Fri May 31 21:39:48 GMT 2024","Fri May 31 21:39:48 GMT 2024","3","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateProjectAndBuildConfig","authorizedUserShouldBeAbleCreateProjectAndBuildConfig",""
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldBeCreatedWithSpecialSymbolsInName","projectShouldBeCreatedWithSpecialSymbolsInName","Project Should Be Created With Special Symbols In Name"
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithEmptyId","projectShouldNotBeCreatedWithEmptyId","Project Should Not Be Created With Empty ID"
"passed","Fri May 31 21:38:21 GMT 2024","Fri May 31 21:39:17 GMT 2024","55490","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpTest","com.example.teamcity.ui.SetUpTest","startUpTest","startUpTest",""
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","3","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldBeCreatedWithLongName","projectShouldBeCreatedWithLongName","Project Should Be Created With Long Name"
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightToCreateProject","systemAdminShouldHaveRightToCreateProject",""
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithCorrectId","createBuildConfigWithCorrectId",""
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyProject","buildConfigShouldNotBeCreatedWithEmptyProject",""
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightToCreateBuildConfigToHisProject","projectAdminShouldHaveRightToCreateBuildConfigToHisProject",""
"skipped","Fri May 31 21:39:46 GMT 2024","Fri May 31 21:39:47 GMT 2024","5","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithCorrectId","createProjectWithCorrectId","Create Project with Correct ID"
"skipped","Fri May 31 21:39:47 GMT 2024","Fri May 31 21:39:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldBeCreatedWithTheSameNameInDifferentProjects","buildConfigShouldBeCreatedWithTheSameNameInDifferentProjects",""
"broken","Fri May 31 21:39:48 GMT 2024","Fri May 31 21:39:48 GMT 2024","6","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyBranch","buildConfigShouldNotBeCreatedWithEmptyBranch",""
