"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 21:50:04 GMT 2024","Tue May 28 21:50:04 GMT 2024","125","Surefire suite","Surefire test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightToCreateProject","systemAdminShouldHaveRightToCreateProject",""
"passed","Tue May 28 21:50:00 GMT 2024","Tue May 28 21:50:00 GMT 2024","74","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldBeCreatedWithSpecialSymbolsInName","projectShouldBeCreatedWithSpecialSymbolsInName","Project Should Be Created With Special Symbols In Name"
"passed","Tue May 28 21:50:04 GMT 2024","Tue May 28 21:50:04 GMT 2024","52","Surefire suite","Surefire test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyName","buildConfigShouldNotBeCreatedWithEmptyName",""
"passed","Tue May 28 21:50:06 GMT 2024","Tue May 28 21:50:56 GMT 2024","50132","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","authorizedUserShouldBeAbleCreateProject","authorizedUserShouldBeAbleCreateProject",""
"passed","Tue May 28 21:50:56 GMT 2024","Tue May 28 21:51:00 GMT 2024","4115","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","projectShouldNotBeCreatedWithEmptyUrl","projectShouldNotBeCreatedWithEmptyUrl",""
"passed","Tue May 28 21:50:05 GMT 2024","Tue May 28 21:50:05 GMT 2024","50","Surefire suite","Surefire test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithLongName","createBuildConfigWithLongName",""
"passed","Tue May 28 21:50:05 GMT 2024","Tue May 28 21:50:05 GMT 2024","36","Surefire suite","Surefire test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","createBuildConfigWithCorrectId","createBuildConfigWithCorrectId",""
"passed","Tue May 28 21:49:56 GMT 2024","Tue May 28 21:49:58 GMT 2024","2359","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithCorrectId","createProjectWithCorrectId","Create Project with Correct ID"
"passed","Tue May 28 21:50:00 GMT 2024","Tue May 28 21:50:00 GMT 2024","155","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectShouldNotBeCreatedWithTheSameId","projectShouldNotBeCreatedWithTheSameId","Project Should Not Be Created With The Same ID"
"passed","Tue May 28 21:50:04 GMT 2024","Tue May 28 21:50:04 GMT 2024","61","Surefire suite","Surefire test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigShouldNotBeCreatedWithEmptyId","buildConfigShouldNotBeCreatedWithEmptyId",""
